Site,Month,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kongsfjorden,3,12.76,5.81,10.58,10.18,45.88,6.32,6.55,8.77,11.28,8.55,6.31,10.11,10.33,6.86,6.96,9.83,9.39,5.88,68.21,34.43
Kongsfjorden,4,0.8,0.93,0.92,0.83,1.23,1.35,1.84,1.41,1.62,2.67,1.68,4.09,8.03,9.28,2.92,5.4,4.9,44.78,100,100
Kongsfjorden,5,0.62,0.75,0.75,0.88,0.95,1.45,2.13,1.81,13.9,1.71,2.41,2.02,1.69,3.04,3.74,3.8,3.86,3.7,6.9,10.94
Kongsfjorden,6,0.65,0.85,0.83,0.95,1.53,1.3,1.3,1.93,1.16,1.31,4,3.78,4.43,5.18,4.87,2.87,5.98,8.08,2.29,2.07
Kongsfjorden,7,0.74,1,0.8,1,0.96,1.15,1.14,2.55,2.47,2.41,1.72,5.04,7.67,2.15,2.26,4.95,3.08,6.65,17.54,100
Kongsfjorden,8,0.87,0.75,0.84,1.64,1.19,1.29,2.16,2.34,2.13,2.79,2.15,4.66,5.98,4.05,5.96,100,7.15,5.35,7.42,7
Kongsfjorden,9,1.11,0.8,0.95,0.96,0.91,0.99,1.19,1,1.21,1.07,1.27,1.26,1.55,5.39,1.42,1.87,5.45,2.63,1.88,1.77
Kongsfjorden,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Isfjorden,3,2.16,1.56,1.68,1.86,2,1.53,1.67,1.83,2.3,1.45,1.63,1.92,2.05,1.69,1.68,1.72,1.81,1.61,2.45,2.93
Isfjorden,4,0.27,0.31,0.32,0.32,0.39,0.45,0.7,0.54,0.57,1.22,0.63,1.9,4.07,4.26,1.41,1.94,1.8,54.18,100,100
Isfjorden,5,0.23,0.26,0.3,0.34,0.34,0.45,0.83,0.59,19.55,0.65,0.8,0.81,0.71,1.22,2.08,1.55,1.52,1.66,2.12,8.9
Isfjorden,6,0.26,0.27,0.31,0.31,0.43,0.4,0.4,0.61,0.37,0.72,1.77,1.67,1.89,1.65,1.46,1.2,1.79,9.13,0.87,0.82
Isfjorden,7,0.22,0.35,0.33,0.31,0.39,0.42,0.39,0.92,0.76,1.07,0.57,1.48,2.22,0.79,0.84,1.72,1.15,3.82,61.58,100
Isfjorden,8,0.35,0.29,0.32,0.47,0.5,0.47,0.7,0.99,0.84,1.11,0.75,1.41,1.77,1.63,1.85,100,3.95,1.92,2.74,2.8
Isfjorden,9,0.33,0.32,0.32,0.31,0.3,0.33,0.31,0.36,0.38,0.34,0.45,0.53,0.46,2.44,0.49,0.67,1.41,1.03,0.85,0.55
Isfjorden,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Storfjorden,3,0.36,0.34,0.31,0.35,0.39,0.33,0.32,0.37,0.38,0.32,0.36,0.37,0.39,0.33,0.33,0.33,0.38,0.32,0.43,0.5
Storfjorden,4,0.1,0.14,0.11,0.12,0.18,0.17,0.25,0.19,0.22,0.44,0.24,0.88,6.42,1.01,0.59,0.62,0.42,100,100,100
Storfjorden,5,0.09,0.09,0.12,0.15,0.13,0.17,0.41,0.25,0.99,0.22,0.3,0.23,0.25,0.35,0.54,0.52,0.43,0.39,0.72,1.56
Storfjorden,6,0.12,0.13,0.13,0.13,0.2,0.16,0.15,0.17,0.17,0.24,0.44,0.51,0.56,0.49,0.3,0.39,0.4,2.24,0.3,0.26
Storfjorden,7,0.08,0.11,0.14,0.13,0.14,0.15,0.16,0.34,0.23,0.36,0.2,0.38,0.98,0.25,0.34,0.43,0.33,90.95,18.67,95.31
Storfjorden,8,0.12,0.12,0.12,0.21,0.19,0.19,0.25,0.29,0.25,0.33,0.23,0.37,0.51,0.43,0.6,100,83.61,0.94,0.68,0.75
Storfjorden,9,0.12,0.14,0.13,0.11,0.13,0.12,0.12,0.13,0.13,0.15,0.17,0.2,0.19,38.82,0.18,0.21,0.3,0.27,0.22,0.19
Storfjorden,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Young Sound,3,2.23,2.4,2.56,2.78,2.44,2.42,2.48,2.27,2.34,2.64,2.46,2.49,2.58,2.45,2.57,2.47,2.53,2.55,2.6,2.74
Young Sound,4,2.28,2.19,1.79,1.84,2,2.08,2.02,2.25,2.13,2.04,1.84,2.29,2.01,2,2.31,2.31,2.17,2.05,2.06,100
Young Sound,5,2.07,1.55,1.45,1.68,1.57,1.1,1.57,2,1.38,1.96,2.14,1.39,2.01,1.93,1.76,1.65,1.32,1.47,1.26,1.52
Young Sound,6,1.17,1.32,1.99,1.58,1.6,1.48,1.45,1.81,1.21,1.17,1.76,1.64,1.6,1.66,1.32,1.47,1.41,1.23,1.49,1.65
Young Sound,7,1.39,1.27,1.46,1.27,1.46,1.31,1.37,1.3,1.32,1.6,1.71,1.58,1.25,1.17,1.28,1.37,1.95,1.42,1.34,1.31
Young Sound,8,1.4,1.91,1.9,1.3,1.76,2.26,1.75,1.67,1.92,1.51,1.46,2.03,1.54,1.63,1.5,1.84,1.73,1.68,1.8,1.73
Young Sound,9,2.06,2.3,2.37,2.01,2.43,1.82,2.3,2.29,2.28,2.06,2.06,2.62,2.21,2.4,2.3,2.6,2.41,2.06,2.06,2.25
Young Sound,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Qeqertarsuup Tunua,3,0.33,0.31,0.33,0.29,0.3,0.31,0.3,0.36,0.3,0.3,0.31,0.32,0.31,0.32,0.34,0.31,0.3,0.31,0.3,0.38
Qeqertarsuup Tunua,4,0.33,0.29,0.32,0.32,0.32,0.32,0.3,0.3,0.32,0.33,0.33,0.33,0.33,0.33,0.31,0.32,0.32,0.31,0.34,100
Qeqertarsuup Tunua,5,0.27,0.28,0.27,0.25,0.27,0.27,0.25,0.26,0.26,0.26,0.27,0.25,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28
Qeqertarsuup Tunua,6,0.27,0.25,0.25,0.27,0.26,0.27,0.25,0.25,0.25,0.25,0.29,0.25,0.23,0.27,0.26,0.25,0.26,0.27,0.25,0.25
Qeqertarsuup Tunua,7,0.27,0.26,0.24,0.26,0.27,0.25,0.25,0.25,0.25,0.26,0.27,0.26,0.26,0.27,0.26,0.27,0.25,0.24,0.26,0.25
Qeqertarsuup Tunua,8,0.28,0.3,0.29,0.29,0.28,0.29,0.28,0.3,0.28,0.28,0.29,0.28,0.29,0.3,0.28,0.28,0.27,0.46,0.33,0.29
Qeqertarsuup Tunua,9,0.34,0.33,0.33,0.32,0.36,0.33,0.32,0.33,0.33,0.34,0.31,0.33,0.34,0.38,0.34,0.36,0.36,0.34,0.33,0.34
Qeqertarsuup Tunua,10,0.53,0.69,0.57,0.49,0.52,0.52,0.68,0.66,0.62,0.58,0.6,0.56,0.56,0.71,0.67,0.59,0.63,0.63,0.49,0.49
Nuup Kangerlua,3,0.33,0.31,0.33,0.29,0.3,0.31,0.3,0.36,0.3,0.3,0.31,0.32,0.31,0.32,0.34,0.31,0.3,0.31,0.3,0.38
Nuup Kangerlua,4,0.33,0.29,0.32,0.32,0.32,0.32,0.3,0.3,0.32,0.33,0.33,0.33,0.33,0.33,0.31,0.32,0.32,0.31,0.34,100
Nuup Kangerlua,5,0.27,0.28,0.27,0.25,0.27,0.27,0.25,0.26,0.26,0.26,0.27,0.25,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28
Nuup Kangerlua,6,0.27,0.25,0.25,0.27,0.26,0.27,0.25,0.25,0.25,0.25,0.29,0.25,0.23,0.27,0.26,0.25,0.26,0.27,0.25,0.25
Nuup Kangerlua,7,0.27,0.26,0.24,0.26,0.27,0.25,0.25,0.25,0.25,0.26,0.27,0.26,0.26,0.27,0.26,0.27,0.25,0.24,0.26,0.25
Nuup Kangerlua,8,0.28,0.3,0.29,0.29,0.28,0.29,0.28,0.3,0.28,0.28,0.29,0.28,0.29,0.3,0.28,0.28,0.27,0.46,0.33,0.29
Nuup Kangerlua,9,0.34,0.33,0.33,0.32,0.36,0.33,0.32,0.33,0.33,0.34,0.31,0.33,0.34,0.38,0.34,0.36,0.36,0.34,0.33,0.34
