"","year","month","percent"
"1",2003,3,0.33
"2",2003,4,0.33
"3",2003,5,0.27
"4",2003,6,0.27
"5",2003,7,0.27
"6",2003,8,0.28
"7",2003,9,0.34
"8",2003,10,0.53
"9",2004,3,0.31
"10",2004,4,0.29
"11",2004,5,0.28
"12",2004,6,0.25
"13",2004,7,0.26
"14",2004,8,0.3
"15",2004,9,0.33
"16",2004,10,0.69
"17",2005,3,0.33
"18",2005,4,0.32
"19",2005,5,0.27
"20",2005,6,0.25
"21",2005,7,0.24
"22",2005,8,0.29
"23",2005,9,0.33
"24",2005,10,0.57
"25",2006,3,0.29
"26",2006,4,0.32
"27",2006,5,0.25
"28",2006,6,0.27
"29",2006,7,0.26
"30",2006,8,0.29
"31",2006,9,0.32
"32",2006,10,0.49
"33",2007,3,0.3
"34",2007,4,0.32
"35",2007,5,0.27
"36",2007,6,0.26
"37",2007,7,0.27
"38",2007,8,0.28
"39",2007,9,0.36
"40",2007,10,0.52
"41",2008,3,0.31
"42",2008,4,0.32
"43",2008,5,0.27
"44",2008,6,0.27
"45",2008,7,0.25
"46",2008,8,0.29
"47",2008,9,0.33
"48",2008,10,0.52
"49",2009,3,0.3
"50",2009,4,0.3
"51",2009,5,0.25
"52",2009,6,0.25
"53",2009,7,0.25
"54",2009,8,0.28
"55",2009,9,0.32
"56",2009,10,0.68
"57",2010,3,0.36
"58",2010,4,0.3
"59",2010,5,0.26
"60",2010,6,0.25
"61",2010,7,0.25
"62",2010,8,0.3
"63",2010,9,0.33
"64",2010,10,0.66
"65",2011,3,0.3
"66",2011,4,0.32
"67",2011,5,0.26
"68",2011,6,0.25
"69",2011,7,0.25
"70",2011,8,0.28
"71",2011,9,0.33
"72",2011,10,0.62
"73",2012,3,0.3
"74",2012,4,0.33
"75",2012,5,0.26
"76",2012,6,0.25
"77",2012,7,0.26
"78",2012,8,0.28
"79",2012,9,0.34
"80",2012,10,0.58
"81",2013,3,0.31
"82",2013,4,0.33
"83",2013,5,0.27
"84",2013,6,0.29
"85",2013,7,0.27
"86",2013,8,0.29
"87",2013,9,0.31
"88",2013,10,0.6
"89",2014,3,0.32
"90",2014,4,0.33
"91",2014,5,0.25
"92",2014,6,0.25
"93",2014,7,0.26
"94",2014,8,0.28
"95",2014,9,0.33
"96",2014,10,0.56
"97",2015,3,0.31
"98",2015,4,0.33
"99",2015,5,0.27
"100",2015,6,0.23
"101",2015,7,0.26
"102",2015,8,0.29
"103",2015,9,0.34
"104",2015,10,0.56
"105",2016,3,0.32
"106",2016,4,0.33
"107",2016,5,0.27
"108",2016,6,0.27
"109",2016,7,0.27
"110",2016,8,0.3
"111",2016,9,0.38
"112",2016,10,0.71
"113",2017,3,0.34
"114",2017,4,0.31
"115",2017,5,0.27
"116",2017,6,0.26
"117",2017,7,0.26
"118",2017,8,0.28
"119",2017,9,0.34
"120",2017,10,0.67
"121",2018,3,0.31
"122",2018,4,0.32
"123",2018,5,0.27
"124",2018,6,0.25
"125",2018,7,0.27
"126",2018,8,0.28
"127",2018,9,0.36
"128",2018,10,0.59
"129",2019,3,0.3
"130",2019,4,0.32
"131",2019,5,0.28
"132",2019,6,0.26
"133",2019,7,0.25
"134",2019,8,0.27
"135",2019,9,0.36
"136",2019,10,0.63
"137",2020,3,0.31
"138",2020,4,0.31
"139",2020,5,0.28
"140",2020,6,0.27
"141",2020,7,0.24
"142",2020,8,0.46
"143",2020,9,0.34
"144",2020,10,0.63
"145",2021,3,0.3
"146",2021,4,0.34
"147",2021,5,0.28
"148",2021,6,0.25
"149",2021,7,0.26
"150",2021,8,0.33
"151",2021,9,0.33
"152",2021,10,0.49
"153",2022,3,0.38
"154",2022,4,100
"155",2022,5,0.28
"156",2022,6,0.25
"157",2022,7,0.25
"158",2022,8,0.29
"159",2022,9,0.34
"160",2022,10,0.49
