"","year","month","percent"
"1",2003,3,2.16
"2",2003,4,0.27
"3",2003,5,0.23
"4",2003,6,0.26
"5",2003,7,0.22
"6",2003,8,0.35
"7",2003,9,0.33
"8",2003,10,100
"9",2004,3,1.56
"10",2004,4,0.31
"11",2004,5,0.26
"12",2004,6,0.27
"13",2004,7,0.35
"14",2004,8,0.29
"15",2004,9,0.32
"16",2004,10,100
"17",2005,3,1.68
"18",2005,4,0.32
"19",2005,5,0.3
"20",2005,6,0.31
"21",2005,7,0.33
"22",2005,8,0.32
"23",2005,9,0.32
"24",2005,10,100
"25",2006,3,1.86
"26",2006,4,0.32
"27",2006,5,0.34
"28",2006,6,0.31
"29",2006,7,0.31
"30",2006,8,0.47
"31",2006,9,0.31
"32",2006,10,100
"33",2007,3,2
"34",2007,4,0.39
"35",2007,5,0.34
"36",2007,6,0.43
"37",2007,7,0.39
"38",2007,8,0.5
"39",2007,9,0.3
"40",2007,10,100
"41",2008,3,1.53
"42",2008,4,0.45
"43",2008,5,0.45
"44",2008,6,0.4
"45",2008,7,0.42
"46",2008,8,0.47
"47",2008,9,0.33
"48",2008,10,100
"49",2009,3,1.67
"50",2009,4,0.7
"51",2009,5,0.83
"52",2009,6,0.4
"53",2009,7,0.39
"54",2009,8,0.7
"55",2009,9,0.31
"56",2009,10,100
"57",2010,3,1.83
"58",2010,4,0.54
"59",2010,5,0.59
"60",2010,6,0.61
"61",2010,7,0.92
"62",2010,8,0.99
"63",2010,9,0.36
"64",2010,10,100
"65",2011,3,2.3
"66",2011,4,0.57
"67",2011,5,19.55
"68",2011,6,0.37
"69",2011,7,0.76
"70",2011,8,0.84
"71",2011,9,0.38
"72",2011,10,100
"73",2012,3,1.45
"74",2012,4,1.22
"75",2012,5,0.65
"76",2012,6,0.72
"77",2012,7,1.07
"78",2012,8,1.11
"79",2012,9,0.34
"80",2012,10,100
"81",2013,3,1.63
"82",2013,4,0.63
"83",2013,5,0.8
"84",2013,6,1.77
"85",2013,7,0.57
"86",2013,8,0.75
"87",2013,9,0.45
"88",2013,10,100
"89",2014,3,1.92
"90",2014,4,1.9
"91",2014,5,0.81
"92",2014,6,1.67
"93",2014,7,1.48
"94",2014,8,1.41
"95",2014,9,0.53
"96",2014,10,100
"97",2015,3,2.05
"98",2015,4,4.07
"99",2015,5,0.71
"100",2015,6,1.89
"101",2015,7,2.22
"102",2015,8,1.77
"103",2015,9,0.46
"104",2015,10,100
"105",2016,3,1.69
"106",2016,4,4.26
"107",2016,5,1.22
"108",2016,6,1.65
"109",2016,7,0.79
"110",2016,8,1.63
"111",2016,9,2.44
"112",2016,10,100
"113",2017,3,1.68
"114",2017,4,1.41
"115",2017,5,2.08
"116",2017,6,1.46
"117",2017,7,0.84
"118",2017,8,1.85
"119",2017,9,0.49
"120",2017,10,100
"121",2018,3,1.72
"122",2018,4,1.94
"123",2018,5,1.55
"124",2018,6,1.2
"125",2018,7,1.72
"126",2018,8,100
"127",2018,9,0.67
"128",2018,10,100
"129",2019,3,1.81
"130",2019,4,1.8
"131",2019,5,1.52
"132",2019,6,1.79
"133",2019,7,1.15
"134",2019,8,3.95
"135",2019,9,1.41
"136",2019,10,100
"137",2020,3,1.61
"138",2020,4,54.18
"139",2020,5,1.66
"140",2020,6,9.13
"141",2020,7,3.82
"142",2020,8,1.92
"143",2020,9,1.03
"144",2020,10,100
"145",2021,3,2.45
"146",2021,4,100
"147",2021,5,2.12
"148",2021,6,0.87
"149",2021,7,61.58
"150",2021,8,2.74
"151",2021,9,0.85
"152",2021,10,100
"153",2022,3,2.93
"154",2022,4,100
"155",2022,5,8.9
"156",2022,6,0.82
"157",2022,7,100
"158",2022,8,2.8
"159",2022,9,0.55
"160",2022,10,100
