"","year","month","percent"
"1",2003,3,12.76
"2",2003,4,0.8
"3",2003,5,0.62
"4",2003,6,0.65
"5",2003,7,0.74
"6",2003,8,0.87
"7",2003,9,1.11
"8",2003,10,100
"9",2004,3,5.81
"10",2004,4,0.93
"11",2004,5,0.75
"12",2004,6,0.85
"13",2004,7,1
"14",2004,8,0.75
"15",2004,9,0.8
"16",2004,10,100
"17",2005,3,10.58
"18",2005,4,0.92
"19",2005,5,0.75
"20",2005,6,0.83
"21",2005,7,0.8
"22",2005,8,0.84
"23",2005,9,0.95
"24",2005,10,100
"25",2006,3,10.18
"26",2006,4,0.83
"27",2006,5,0.88
"28",2006,6,0.95
"29",2006,7,1
"30",2006,8,1.64
"31",2006,9,0.96
"32",2006,10,100
"33",2007,3,45.88
"34",2007,4,1.23
"35",2007,5,0.95
"36",2007,6,1.53
"37",2007,7,0.96
"38",2007,8,1.19
"39",2007,9,0.91
"40",2007,10,100
"41",2008,3,6.32
"42",2008,4,1.35
"43",2008,5,1.45
"44",2008,6,1.3
"45",2008,7,1.15
"46",2008,8,1.29
"47",2008,9,0.99
"48",2008,10,100
"49",2009,3,6.55
"50",2009,4,1.84
"51",2009,5,2.13
"52",2009,6,1.3
"53",2009,7,1.14
"54",2009,8,2.16
"55",2009,9,1.19
"56",2009,10,100
"57",2010,3,8.77
"58",2010,4,1.41
"59",2010,5,1.81
"60",2010,6,1.93
"61",2010,7,2.55
"62",2010,8,2.34
"63",2010,9,1
"64",2010,10,100
"65",2011,3,11.28
"66",2011,4,1.62
"67",2011,5,13.9
"68",2011,6,1.16
"69",2011,7,2.47
"70",2011,8,2.13
"71",2011,9,1.21
"72",2011,10,100
"73",2012,3,8.55
"74",2012,4,2.67
"75",2012,5,1.71
"76",2012,6,1.31
"77",2012,7,2.41
"78",2012,8,2.79
"79",2012,9,1.07
"80",2012,10,100
"81",2013,3,6.31
"82",2013,4,1.68
"83",2013,5,2.41
"84",2013,6,4
"85",2013,7,1.72
"86",2013,8,2.15
"87",2013,9,1.27
"88",2013,10,100
"89",2014,3,10.11
"90",2014,4,4.09
"91",2014,5,2.02
"92",2014,6,3.78
"93",2014,7,5.04
"94",2014,8,4.66
"95",2014,9,1.26
"96",2014,10,100
"97",2015,3,10.33
"98",2015,4,8.03
"99",2015,5,1.69
"100",2015,6,4.43
"101",2015,7,7.67
"102",2015,8,5.98
"103",2015,9,1.55
"104",2015,10,100
"105",2016,3,6.86
"106",2016,4,9.28
"107",2016,5,3.04
"108",2016,6,5.18
"109",2016,7,2.15
"110",2016,8,4.05
"111",2016,9,5.39
"112",2016,10,100
"113",2017,3,6.96
"114",2017,4,2.92
"115",2017,5,3.74
"116",2017,6,4.87
"117",2017,7,2.26
"118",2017,8,5.96
"119",2017,9,1.42
"120",2017,10,100
"121",2018,3,9.83
"122",2018,4,5.4
"123",2018,5,3.8
"124",2018,6,2.87
"125",2018,7,4.95
"126",2018,8,100
"127",2018,9,1.87
"128",2018,10,100
"129",2019,3,9.39
"130",2019,4,4.9
"131",2019,5,3.86
"132",2019,6,5.98
"133",2019,7,3.08
"134",2019,8,7.15
"135",2019,9,5.45
"136",2019,10,100
"137",2020,3,5.88
"138",2020,4,44.78
"139",2020,5,3.7
"140",2020,6,8.08
"141",2020,7,6.65
"142",2020,8,5.35
"143",2020,9,2.63
"144",2020,10,100
"145",2021,3,68.21
"146",2021,4,100
"147",2021,5,6.9
"148",2021,6,2.29
"149",2021,7,17.54
"150",2021,8,7.42
"151",2021,9,1.88
"152",2021,10,100
"153",2022,3,34.43
"154",2022,4,100
"155",2022,5,10.94
"156",2022,6,2.07
"157",2022,7,100
"158",2022,8,7
"159",2022,9,1.77
"160",2022,10,100
