"","year","month","percent"
"1",2003,3,1.47
"2",2003,4,1.43
"3",2003,5,1.15
"4",2003,6,1.09
"5",2003,7,1.11
"6",2003,8,1.28
"7",2003,9,1.27
"8",2003,10,1.23
"9",2004,3,1.3
"10",2004,4,1.39
"11",2004,5,1.16
"12",2004,6,1.12
"13",2004,7,1.05
"14",2004,8,1.34
"15",2004,9,1.56
"16",2004,10,1.57
"17",2005,3,1.33
"18",2005,4,1.56
"19",2005,5,1.18
"20",2005,6,1.09
"21",2005,7,1.16
"22",2005,8,1.41
"23",2005,9,1.43
"24",2005,10,1.18
"25",2006,3,1.3
"26",2006,4,1.45
"27",2006,5,1.21
"28",2006,6,1.14
"29",2006,7,1.16
"30",2006,8,1.15
"31",2006,9,1.44
"32",2006,10,1.23
"33",2007,3,1.31
"34",2007,4,1.34
"35",2007,5,1.18
"36",2007,6,1.06
"37",2007,7,1.16
"38",2007,8,1.47
"39",2007,9,1.38
"40",2007,10,1.26
"41",2008,3,1.22
"42",2008,4,1.38
"43",2008,5,1.18
"44",2008,6,1.06
"45",2008,7,1.07
"46",2008,8,1.28
"47",2008,9,1.38
"48",2008,10,1.24
"49",2009,3,1.27
"50",2009,4,1.39
"51",2009,5,1.14
"52",2009,6,1.06
"53",2009,7,1.13
"54",2009,8,1.51
"55",2009,9,1.42
"56",2009,10,1.36
"57",2010,3,1.45
"58",2010,4,1.5
"59",2010,5,1.17
"60",2010,6,1.07
"61",2010,7,1.22
"62",2010,8,1.33
"63",2010,9,1.51
"64",2010,10,1.25
"65",2011,3,1.25
"66",2011,4,1.44
"67",2011,5,1.26
"68",2011,6,1.11
"69",2011,7,1.15
"70",2011,8,1.41
"71",2011,9,1.28
"72",2011,10,1.24
"73",2012,3,1.22
"74",2012,4,1.39
"75",2012,5,1.11
"76",2012,6,1.11
"77",2012,7,1.22
"78",2012,8,1.41
"79",2012,9,1.49
"80",2012,10,1.26
"81",2013,3,1.23
"82",2013,4,1.69
"83",2013,5,1.21
"84",2013,6,1.46
"85",2013,7,1.14
"86",2013,8,1.43
"87",2013,9,1.69
"88",2013,10,1.27
"89",2014,3,1.22
"90",2014,4,1.77
"91",2014,5,1.29
"92",2014,6,1.2
"93",2014,7,1.03
"94",2014,8,1.27
"95",2014,9,1.36
"96",2014,10,1.16
"97",2015,3,1.38
"98",2015,4,1.76
"99",2015,5,1.21
"100",2015,6,1.08
"101",2015,7,1.17
"102",2015,8,1.27
"103",2015,9,1.66
"104",2015,10,1.33
"105",2016,3,1.34
"106",2016,4,1.7
"107",2016,5,1.26
"108",2016,6,1.15
"109",2016,7,1.14
"110",2016,8,1.49
"111",2016,9,1.39
"112",2016,10,1.31
"113",2017,3,1.3
"114",2017,4,1.4
"115",2017,5,1.21
"116",2017,6,1.21
"117",2017,7,1.23
"118",2017,8,1.35
"119",2017,9,1.46
"120",2017,10,1.4
"121",2018,3,1.41
"122",2018,4,1.45
"123",2018,5,1.15
"124",2018,6,1.3
"125",2018,7,1.24
"126",2018,8,1.34
"127",2018,9,1.47
"128",2018,10,1.62
"129",2019,3,1.49
"130",2019,4,1.45
"131",2019,5,1.24
"132",2019,6,1.15
"133",2019,7,1.15
"134",2019,8,1.26
"135",2019,9,1.75
"136",2019,10,1.38
"137",2020,3,1.38
"138",2020,4,1.56
"139",2020,5,1.1
"140",2020,6,1.1
"141",2020,7,1.12
"142",2020,8,81.54
"143",2020,9,1.87
"144",2020,10,1.32
"145",2021,3,1.34
"146",2021,4,1.8
"147",2021,5,1.2
"148",2021,6,1.14
"149",2021,7,1.14
"150",2021,8,1.62
"151",2021,9,1.38
"152",2021,10,1.36
"153",2022,3,1.34
"154",2022,4,100
"155",2022,5,1.33
"156",2022,6,1.02
"157",2022,7,1.1
"158",2022,8,1.19
"159",2022,9,1.35
"160",2022,10,1.28
