"","year","month","percent"
"1",2003,3,0.36
"2",2003,4,0.1
"3",2003,5,0.09
"4",2003,6,0.12
"5",2003,7,0.08
"6",2003,8,0.12
"7",2003,9,0.12
"8",2003,10,100
"9",2004,3,0.34
"10",2004,4,0.14
"11",2004,5,0.09
"12",2004,6,0.13
"13",2004,7,0.11
"14",2004,8,0.12
"15",2004,9,0.14
"16",2004,10,100
"17",2005,3,0.31
"18",2005,4,0.11
"19",2005,5,0.12
"20",2005,6,0.13
"21",2005,7,0.14
"22",2005,8,0.12
"23",2005,9,0.13
"24",2005,10,100
"25",2006,3,0.35
"26",2006,4,0.12
"27",2006,5,0.15
"28",2006,6,0.13
"29",2006,7,0.13
"30",2006,8,0.21
"31",2006,9,0.11
"32",2006,10,100
"33",2007,3,0.39
"34",2007,4,0.18
"35",2007,5,0.13
"36",2007,6,0.2
"37",2007,7,0.14
"38",2007,8,0.19
"39",2007,9,0.13
"40",2007,10,100
"41",2008,3,0.33
"42",2008,4,0.17
"43",2008,5,0.17
"44",2008,6,0.16
"45",2008,7,0.15
"46",2008,8,0.19
"47",2008,9,0.12
"48",2008,10,100
"49",2009,3,0.32
"50",2009,4,0.25
"51",2009,5,0.41
"52",2009,6,0.15
"53",2009,7,0.16
"54",2009,8,0.25
"55",2009,9,0.12
"56",2009,10,100
"57",2010,3,0.37
"58",2010,4,0.19
"59",2010,5,0.25
"60",2010,6,0.17
"61",2010,7,0.34
"62",2010,8,0.29
"63",2010,9,0.13
"64",2010,10,100
"65",2011,3,0.38
"66",2011,4,0.22
"67",2011,5,0.99
"68",2011,6,0.17
"69",2011,7,0.23
"70",2011,8,0.25
"71",2011,9,0.13
"72",2011,10,100
"73",2012,3,0.32
"74",2012,4,0.44
"75",2012,5,0.22
"76",2012,6,0.24
"77",2012,7,0.36
"78",2012,8,0.33
"79",2012,9,0.15
"80",2012,10,100
"81",2013,3,0.36
"82",2013,4,0.24
"83",2013,5,0.3
"84",2013,6,0.44
"85",2013,7,0.2
"86",2013,8,0.23
"87",2013,9,0.17
"88",2013,10,100
"89",2014,3,0.37
"90",2014,4,0.88
"91",2014,5,0.23
"92",2014,6,0.51
"93",2014,7,0.38
"94",2014,8,0.37
"95",2014,9,0.2
"96",2014,10,100
"97",2015,3,0.39
"98",2015,4,6.42
"99",2015,5,0.25
"100",2015,6,0.56
"101",2015,7,0.98
"102",2015,8,0.51
"103",2015,9,0.19
"104",2015,10,100
"105",2016,3,0.33
"106",2016,4,1.01
"107",2016,5,0.35
"108",2016,6,0.49
"109",2016,7,0.25
"110",2016,8,0.43
"111",2016,9,38.82
"112",2016,10,100
"113",2017,3,0.33
"114",2017,4,0.59
"115",2017,5,0.54
"116",2017,6,0.3
"117",2017,7,0.34
"118",2017,8,0.6
"119",2017,9,0.18
"120",2017,10,100
"121",2018,3,0.33
"122",2018,4,0.62
"123",2018,5,0.52
"124",2018,6,0.39
"125",2018,7,0.43
"126",2018,8,100
"127",2018,9,0.21
"128",2018,10,100
"129",2019,3,0.38
"130",2019,4,0.42
"131",2019,5,0.43
"132",2019,6,0.4
"133",2019,7,0.33
"134",2019,8,83.61
"135",2019,9,0.3
"136",2019,10,100
"137",2020,3,0.32
"138",2020,4,100
"139",2020,5,0.39
"140",2020,6,2.24
"141",2020,7,90.95
"142",2020,8,0.94
"143",2020,9,0.27
"144",2020,10,100
"145",2021,3,0.43
"146",2021,4,100
"147",2021,5,0.72
"148",2021,6,0.3
"149",2021,7,18.67
"150",2021,8,0.68
"151",2021,9,0.22
"152",2021,10,100
"153",2022,3,0.5
"154",2022,4,100
"155",2022,5,1.56
"156",2022,6,0.26
"157",2022,7,95.31
"158",2022,8,0.75
"159",2022,9,0.19
"160",2022,10,100
