"","year","month","percent"
"1",2003,3,0.09
"2",2003,4,0.08
"3",2003,5,0.04
"4",2003,6,0.04
"5",2003,7,0.03
"6",2003,8,0.05
"7",2003,9,0.12
"8",2003,10,0.31
"9",2004,3,0.12
"10",2004,4,0.07
"11",2004,5,0.03
"12",2004,6,0.03
"13",2004,7,0.03
"14",2004,8,0.04
"15",2004,9,0.12
"16",2004,10,0.4
"17",2005,3,0.08
"18",2005,4,0.07
"19",2005,5,0.03
"20",2005,6,0.04
"21",2005,7,0.03
"22",2005,8,0.05
"23",2005,9,0.11
"24",2005,10,0.41
"25",2006,3,0.14
"26",2006,4,0.05
"27",2006,5,0.03
"28",2006,6,0.03
"29",2006,7,0.03
"30",2006,8,0.05
"31",2006,9,0.08
"32",2006,10,0.57
"33",2007,3,0.09
"34",2007,4,0.07
"35",2007,5,0.03
"36",2007,6,0.03
"37",2007,7,0.03
"38",2007,8,0.05
"39",2007,9,0.1
"40",2007,10,0.32
"41",2008,3,0.08
"42",2008,4,0.07
"43",2008,5,0.04
"44",2008,6,0.03
"45",2008,7,0.03
"46",2008,8,0.05
"47",2008,9,0.13
"48",2008,10,0.92
"49",2009,3,0.11
"50",2009,4,0.07
"51",2009,5,0.03
"52",2009,6,0.03
"53",2009,7,0.03
"54",2009,8,0.06
"55",2009,9,0.1
"56",2009,10,0.35
"57",2010,3,0.08
"58",2010,4,0.07
"59",2010,5,0.03
"60",2010,6,0.03
"61",2010,7,0.03
"62",2010,8,0.04
"63",2010,9,0.09
"64",2010,10,0.3
"65",2011,3,0.13
"66",2011,4,0.07
"67",2011,5,0.04
"68",2011,6,0.03
"69",2011,7,0.03
"70",2011,8,0.05
"71",2011,9,0.11
"72",2011,10,0.36
"73",2012,3,0.17
"74",2012,4,0.07
"75",2012,5,0.04
"76",2012,6,0.03
"77",2012,7,0.03
"78",2012,8,0.05
"79",2012,9,0.1
"80",2012,10,0.4
"81",2013,3,0.1
"82",2013,4,0.07
"83",2013,5,0.03
"84",2013,6,0.05
"85",2013,7,0.03
"86",2013,8,0.05
"87",2013,9,0.1
"88",2013,10,0.5
"89",2014,3,0.12
"90",2014,4,0.07
"91",2014,5,0.03
"92",2014,6,0.03
"93",2014,7,0.03
"94",2014,8,0.04
"95",2014,9,0.13
"96",2014,10,0.4
"97",2015,3,0.14
"98",2015,4,0.08
"99",2015,5,0.03
"100",2015,6,0.03
"101",2015,7,0.03
"102",2015,8,0.05
"103",2015,9,0.11
"104",2015,10,0.3
"105",2016,3,0.08
"106",2016,4,0.06
"107",2016,5,0.03
"108",2016,6,0.03
"109",2016,7,0.03
"110",2016,8,0.05
"111",2016,9,0.11
"112",2016,10,0.47
"113",2017,3,0.1
"114",2017,4,0.1
"115",2017,5,0.04
"116",2017,6,0.04
"117",2017,7,0.03
"118",2017,8,0.04
"119",2017,9,0.1
"120",2017,10,0.42
"121",2018,3,0.15
"122",2018,4,0.06
"123",2018,5,0.04
"124",2018,6,0.03
"125",2018,7,0.02
"126",2018,8,0.05
"127",2018,9,0.09
"128",2018,10,0.32
"129",2019,3,0.12
"130",2019,4,0.08
"131",2019,5,0.04
"132",2019,6,0.03
"133",2019,7,0.05
"134",2019,8,0.05
"135",2019,9,0.11
"136",2019,10,0.33
"137",2020,3,0.12
"138",2020,4,0.08
"139",2020,5,0.04
"140",2020,6,0.03
"141",2020,7,0.03
"142",2020,8,0.05
"143",2020,9,0.14
"144",2020,10,0.4
"145",2021,3,0.1
"146",2021,4,0.07
"147",2021,5,0.04
"148",2021,6,0.03
"149",2021,7,0.03
"150",2021,8,0.06
"151",2021,9,0.17
"152",2021,10,0.48
"153",2022,3,0.09
"154",2022,4,100
"155",2022,5,0.03
"156",2022,6,0.02
"157",2022,7,0.03
"158",2022,8,0.04
"159",2022,9,0.12
"160",2022,10,0.64
