"","year","month","percent"
"1",2003,3,2.23
"2",2003,4,2.28
"3",2003,5,2.07
"4",2003,6,1.17
"5",2003,7,1.39
"6",2003,8,1.4
"7",2003,9,2.06
"8",2003,10,100
"9",2004,3,2.4
"10",2004,4,2.19
"11",2004,5,1.55
"12",2004,6,1.32
"13",2004,7,1.27
"14",2004,8,1.91
"15",2004,9,2.3
"16",2004,10,100
"17",2005,3,2.56
"18",2005,4,1.79
"19",2005,5,1.45
"20",2005,6,1.99
"21",2005,7,1.46
"22",2005,8,1.9
"23",2005,9,2.37
"24",2005,10,100
"25",2006,3,2.78
"26",2006,4,1.84
"27",2006,5,1.68
"28",2006,6,1.58
"29",2006,7,1.27
"30",2006,8,1.3
"31",2006,9,2.01
"32",2006,10,100
"33",2007,3,2.44
"34",2007,4,2
"35",2007,5,1.57
"36",2007,6,1.6
"37",2007,7,1.46
"38",2007,8,1.76
"39",2007,9,2.43
"40",2007,10,100
"41",2008,3,2.42
"42",2008,4,2.08
"43",2008,5,1.1
"44",2008,6,1.48
"45",2008,7,1.31
"46",2008,8,2.26
"47",2008,9,1.82
"48",2008,10,100
"49",2009,3,2.48
"50",2009,4,2.02
"51",2009,5,1.57
"52",2009,6,1.45
"53",2009,7,1.37
"54",2009,8,1.75
"55",2009,9,2.3
"56",2009,10,100
"57",2010,3,2.27
"58",2010,4,2.25
"59",2010,5,2
"60",2010,6,1.81
"61",2010,7,1.3
"62",2010,8,1.67
"63",2010,9,2.29
"64",2010,10,100
"65",2011,3,2.34
"66",2011,4,2.13
"67",2011,5,1.38
"68",2011,6,1.21
"69",2011,7,1.32
"70",2011,8,1.92
"71",2011,9,2.28
"72",2011,10,100
"73",2012,3,2.64
"74",2012,4,2.04
"75",2012,5,1.96
"76",2012,6,1.17
"77",2012,7,1.6
"78",2012,8,1.51
"79",2012,9,2.06
"80",2012,10,100
"81",2013,3,2.46
"82",2013,4,1.84
"83",2013,5,2.14
"84",2013,6,1.76
"85",2013,7,1.71
"86",2013,8,1.46
"87",2013,9,2.06
"88",2013,10,100
"89",2014,3,2.49
"90",2014,4,2.29
"91",2014,5,1.39
"92",2014,6,1.64
"93",2014,7,1.58
"94",2014,8,2.03
"95",2014,9,2.62
"96",2014,10,100
"97",2015,3,2.58
"98",2015,4,2.01
"99",2015,5,2.01
"100",2015,6,1.6
"101",2015,7,1.25
"102",2015,8,1.54
"103",2015,9,2.21
"104",2015,10,100
"105",2016,3,2.45
"106",2016,4,2
"107",2016,5,1.93
"108",2016,6,1.66
"109",2016,7,1.17
"110",2016,8,1.63
"111",2016,9,2.4
"112",2016,10,100
"113",2017,3,2.57
"114",2017,4,2.31
"115",2017,5,1.76
"116",2017,6,1.32
"117",2017,7,1.28
"118",2017,8,1.5
"119",2017,9,2.3
"120",2017,10,100
"121",2018,3,2.47
"122",2018,4,2.31
"123",2018,5,1.65
"124",2018,6,1.47
"125",2018,7,1.37
"126",2018,8,1.84
"127",2018,9,2.6
"128",2018,10,100
"129",2019,3,2.53
"130",2019,4,2.17
"131",2019,5,1.32
"132",2019,6,1.41
"133",2019,7,1.95
"134",2019,8,1.73
"135",2019,9,2.41
"136",2019,10,100
"137",2020,3,2.55
"138",2020,4,2.05
"139",2020,5,1.47
"140",2020,6,1.23
"141",2020,7,1.42
"142",2020,8,1.68
"143",2020,9,2.06
"144",2020,10,100
"145",2021,3,2.6
"146",2021,4,2.06
"147",2021,5,1.26
"148",2021,6,1.49
"149",2021,7,1.34
"150",2021,8,1.8
"151",2021,9,2.06
"152",2021,10,100
"153",2022,3,2.74
"154",2022,4,100
"155",2022,5,1.52
"156",2022,6,1.65
"157",2022,7,1.31
"158",2022,8,1.73
"159",2022,9,2.25
"160",2022,10,100
